Sample ID/Group/Community,Master ID,Skeletal code,Skeletal element,Data type,14C date(s) that are newly published in this study,Published Study,Associated authors if this is a newly reported sample,Average Confidence Interval Date,Dating,Broad chronological / archaeological period,Analysis Label (grouping individuals of similar ancestry across diverse regions),Split Label  (grouping individuals of similar ancestry by site),Passed all analysis filters,Location,Country,Broad Geographic Region (Genetic clustering may sometimes differ),Latitude,Longitude,Gender,mtDNA haplogroup,Y chromosome haplogroup,Y chromosome determination strategy,"Whole genome average coverage across 1,150,639 targeted autosomal SNPs","Whole genome SNPs (number of 1,150,639 targeted autosomal SNPs covered by at least once sequence)",X-contamination point estimate from ANGSD on non-damage-restricted data if male and ≥200 SNPs,X-contamination Z-score from ANGSD on non-damage-restricted data if male and ≥200 SNPs,Library ID(s),UDG treatment by library (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides),damage by library in sequences aligning to nuclear targets,mtDNA match rate to consensus by library (for all sequences and thus without damage restriction),"Assessment of data quality (notes in parentheses included if match rate to the mtDNA consensus sequence is <0.95 or X chromosome contamination estimate in males is significantly non-zero, or ratio of sequences matching Y and X chromosome is unexpected for a male or female)"
HG03673.SG,HG03673,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1149502,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03898.SG,HG03898,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1149770,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03948.SG,HG03948,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1149778,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03692.SG,HG03692,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1149842,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03849.SG,HG03849,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1149914,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03756.SG,HG03756,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1149939,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03643.SG,HG03643,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1149968,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03838.SG,HG03838,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1150079,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03757.SG,HG03757,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1150087,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03741.SG,HG03741,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1150292,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03684.SG,HG03684,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1150349,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03642.SG,HG03642,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1150427,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03754.SG,HG03754,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1150531,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03846.SG,HG03846,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H1a1a1,automatic,..,1155609,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03850.SG,HG03850,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,C1b1a1a1,automatic,..,1158545,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03991.SG,HG03991,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H1b2a,automatic,..,1159690,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04033.SG,HG04033,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H3a2a2,automatic,..,1160696,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04039.SG,HG04039,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a1,automatic,..,1161918,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03851.SG,HG03851,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,J2a1h2d,automatic,..,1163061,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03953.SG,HG03953,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,L1a1,automatic,..,1163991,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03646.SG,HG03646,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H1a1d2c1b1a,automatic,..,1166307,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03738.SG,HG03738,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H1a1d2b2a,automatic,..,1167027,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03686.SG,HG03686,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,L1a1,automatic,..,1167557,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03856.SG,HG03856,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R2a3a2b2b,automatic,..,1168136,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03999.SG,HG03999,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a2a,automatic,..,1168293,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03745.SG,HG03745,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H1a1d2c1b1a,automatic,..,1168300,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04107.SG,HG04107,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,J2a1,automatic,..,1168577,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03694.SG,HG03694,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a1a,automatic,..,1168815,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03848.SG,HG03848,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H3a2a1,automatic,..,1169150,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03695.SG,HG03695,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,L1a2,automatic,..,1169180,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03711.SG,HG03711,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a1b,automatic,..,1171169,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03672.SG,HG03672,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,L1a2,automatic,..,1171420,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03697.SG,HG03697,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H3b1,automatic,..,1171664,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03696.SG,HG03696,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,J2b2,automatic,..,1171665,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03744.SG,HG03744,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,BT,automatic,..,1172239,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03854.SG,HG03854,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,J2a1c,automatic,..,1173240,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03750.SG,HG03750,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a,automatic,..,1173649,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03837.SG,HG03837,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H3a2b,automatic,..,1173825,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03885.SG,HG03885,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,L1a1,automatic,..,1175364,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03753.SG,HG03753,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,L1a2,automatic,..,1175696,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03890.SG,HG03890,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H3b1,automatic,..,1175721,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04100.SG,HG04100,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,L1a1,automatic,..,1176785,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03887.SG,HG03887,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a2a,automatic,..,1177445,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03687.SG,HG03687,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a2a,automatic,..,1177628,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03755.SG,HG03755,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H1a1d2b2a,automatic,..,1177954,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03899.SG,HG03899,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a1,automatic,..,1178452,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04003.SG,HG04003,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,J2a1,automatic,..,1178728,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04229.SG,HG04229,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a1b,automatic,..,1179182,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03950.SG,HG03950,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H1a1d2c1b1a,automatic,..,1180256,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03685.SG,HG03685,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a1b,automatic,..,1180293,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04006.SG,HG04006,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H1a1d2b3a,automatic,..,1180422,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03743.SG,HG03743,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a2a,automatic,..,1180437,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03693.SG,HG03693,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,J2a1c,automatic,..,1180560,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04210.SG,HG04210,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,J2b2,automatic,..,1180602,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03740.SG,HG03740,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a2a,automatic,..,1180719,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03680.SG,HG03680,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H3a2b,automatic,..,1180817,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03900.SG,HG03900,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,L1a2,automatic,..,1180860,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03681.SG,HG03681,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,Q1a2,automatic,..,1181083,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03896.SG,HG03896,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a1a,automatic,..,1181195,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03943.SG,HG03943,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,Q1a2,automatic,..,1181382,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03679.SG,HG03679,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R1a1a1b2a1a,automatic,..,1181408,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03644.SG,HG03644,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H1a1d2c1b1a,automatic,..,1181483,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
